id,k,weight
ctrnact-05_346-4l_4m_5d_5e_5f-1,5,5
ctrnact-05_346-4l_4m_5e2_5f-1,5,6
ctrnact-05_346-4l_4m_5e_5f_6f-1,5,5
ctrnact-05_346-4l_5c_5d_5f_6d-1,5,7
ctrnact-05_346-4l_5c_5f2_6d-1,5,7
ctrnact-05_346-4l_5d2_6i2-1,5,7
ctrnact-05_346-4l_5d_5f_6i2-1,5,7
ctrnact-05_346-4m_5c_5d_5e_6a-1,5,7
ctrnact-05_346-4m_5c_5e_5f_6a-1,5,7
ctrnact-05_346-4p_5a_5c2_5e-1,5,6
ctrnact-05_346-5a_5b_5c_5d_6i-1,5,5
ctrnact-05_346-5a_5c2_5e2-1,5,6
ctrnact-05_346-5a_5d_5e_6h_6i-1,5,7
ctrnact-05_346c-3a_3c_4a_4l_5e-1,5,6
ctrnact-05_346c-3c2_4k_5e_6a-1,5,9
ctrnact-05_346c-3c2_4m_5e_6a-1,5,9
ctrnact-05_346c-3c3_4a_6d-1,5,10
ctrnact-05_346c-3c3_4k_4l-1,5,10
ctrnact-05_346c-3c3_4l_4m-10,5,10
ctrnact-05_346c-3c3_4l_4m-4,5,6
ctrnact-05_346c-3c_4a3_6i-1,5,10
ctrnact-05_346c-3c_4h_4j_4k2-1,5,9
ctrnact-05_346c-3c_4k2_5f_6d-1,5,9
ctrnact-05_346c-3c_4k_5b_5c_6d-1,5,8
ctrnact-05_346c-3c_4l2_4m2-1,5,9
ctrnact-05_346c-4a2_4l_5d_6i-1,5,9
ctrnact-05_346c-4a2_4l_5f_6i-1,5,9
ctrnact-05_346c-4a_4l_4m_5c2-1,5,8
ctrnact-05_346c-4a_4m_5d2_6i-1,5,9
ctrnact-05_346c-4a_5b_5c_5d_6i-1,5,8
ctrnact-05_346c-4c_4l_4m_5e2-1,5,8
ctrnact-05_34c-3a2_3b_4a_4c-1,5,8
ctrnact-05_34c-3a2_4a_5e_6a-1,5,8
ctrnact-05_34c-3a2_4c_5e_6a-1,5,8
ctrnact-05_34c-3a3_3b_4c-1,5,8
ctrnact-05_34c-3a_4a_4c_5c_5d-1,5,6
ctrnact-05_34c-3a_4a_4c_5d2-1,5,7
ctrnact-05_34c-4a2_4c_5e_6f-1,5,5
ctrnact-05_34c-4a_4b_4t_5c_5d-1,5,6
ctrnact-05_34c-4a_5d_5e_6h_6i-1,5,8
ctrnact-05_34c-4c_5e3_6c-1,5,7
ctrnact-05_36-3d_3f_4e_4i_5b-1,5,5
ctrnact-05_36-3d_4d_4h_5a_6a-1,5,6
ctrnact-05_36-3f2_4d2_4i-3,5,7
ctrnact-05_36-3f2_4d_5a_6f-1,5,6
ctrnact-05_36-3f2_4d_5a_6h-1,5,7
ctrnact-05_36-3f3_4d_4f-1,5,7
ctrnact-05_36-3f3_4d_5a-1,5,7
ctrnact-05_36-3f_3g_4d_4e_6f-1,5,6
ctrnact-05_36-3f_3g_4e_5b_6i-1,5,7
ctrnact-05_36-3f_4d2_4h_4j-1,5,7
ctrnact-05_36-3f_4d2_5a2-1,5,7
ctrnact-05_36-3f_4d_4e_4g_5a-1,5,4
ctrnact-05_36-3f_4d_4e_4g_5a-2,5,5
ctrnact-05_36-3f_4d_4e_4i_5a-1,5,8
ctrnact-05_36-3f_4d_5a_6f_6h-1,5,6
ctrnact-05_36-3f_4d_5a_6h2-1,5,6
ctrnact-05_36-3f_4d_5b_6d_6f-1,5,6
ctrnact-05_36-3f_4e2_4i_5b-1,5,5
ctrnact-05_36-3f_4e2_5a_6i-1,5,6
ctrnact-05_36-3f_4e3_6i-1,5,7
ctrnact-05_36-3f_4e_4h2_4i-1,5,7
ctrnact-05_36-3g2_4d_4e_6f-1,5,7
ctrnact-05_36-3g2_4e_5b_6i-13,5,8
ctrnact-05_36-3g_4e2_4g_5b-1,5,4
ctrnact-05_36-3g_4e2_5a_6i-1,5,7
ctrnact-05_36-3g_4e3_6i-13,5,8
ctrnact-05_36-3g_4e_4j_5b2-1,5,7
ctrnact-05_36-3g_4e_5b2_6j-1,5,7
ctrnact-05_36-4d2_4f_5a_6f-1,5,5
ctrnact-05_36-4d2_4f_5a_6h-1,5,6
ctrnact-05_36-4d2_4j_5b2-1,5,10
ctrnact-05_36-4d2_5a2_6f-1,5,6
ctrnact-05_36-4d2_5a2_6h-2,5,6
ctrnact-05_36-4d3_4i_5a-1,5,7
ctrnact-05_36-4d_4e_4g_4h2-1,5,8
ctrnact-05_36-4d_4g_4h2_4j-1,5,8
