id,k,lattice,group,orbifold
ctrnact-12_346-4j2_4k4_5b4_5d2-10,12,rectangular,pgg,22×
ctrnact-12_346-4j2_4k4_5b4_5d2-34,12,rectangular,pgg,22×
ctrnact-12_346-4j2_4k4_5b4_5d2-36,12,rectangular,pmg,22*
ctrnact-12_346-4j2_4k4_5b4_5d2-38,12,rectangular,pgg,22×
ctrnact-12_346-4j2_4k4_5b4_5d2-40,12,rectangular,pmg,22*
ctrnact-12_346-4j2_4k4_5b4_5d2-41,12,rectangular,pgg,22×
ctrnact-12_346-4j2_4k4_5b4_5d2-44,12,rectangular,pmg,22*
ctrnact-12_346-4j2_4k4_5b4_5d2-45,12,rectangular,pgg,22×
ctrnact-12_346-4j2_4k4_5b4_5d2-48,12,rectangular,pmg,22*
ctrnact-12_346-4j2_4k4_5b4_5d2-5,12,rectangular,pmg,22*
ctrnact-12_346-4j2_4k4_5b4_5d2-6,12,rectangular,pmg,22*
ctrnact-12_346-4j2_4k4_5b4_5d2-65,12,rectangular,pgg,22×
ctrnact-12_346-4j2_4k4_5b4_5d2-66,12,rectangular,pgg,22×
ctrnact-12_346-4j2_4k4_5b4_5d2-71,12,rectangular,pmg,22*
ctrnact-12_346-4j2_4k4_5b4_5d2-72,12,rectangular,pmg,22*
ctrnact-12_346-4j2_4k4_5b4_5d2-9,12,rectangular,pgg,22×
ctrnact-12_346-4j2_4k4_5b4_6h2-1,12,rectangular,pmg,22*
ctrnact-12_346-4j2_4k4_5b4_6h2-2,12,rectangular,pmg,22*
ctrnact-12_346-4j2_4k6_4s2_5b2-1,12,rectangular,pmg,22*
ctrnact-12_346-4j2_4k6_4s2_5b2-3,12,rectangular,pmg,22*
ctrnact-12_346-4j2_4k6_4u2_5b2-11,12,rectangular,pgg,22×
ctrnact-12_346-4j2_4k6_4u2_5b2-18,12,rectangular,pgg,22×
ctrnact-12_346-4j2_4k6_4u2_5b2-20,12,rectangular,pmg,22*
ctrnact-12_346-4j2_4k6_4u2_5b2-26,12,rectangular,pgg,22×
ctrnact-12_346-4j2_4k6_4u2_5b2-28,12,rectangular,pmg,22*
ctrnact-12_346-4j2_4k6_4u2_5b2-5,12,rectangular,pmg,22*
ctrnact-12_346-4j2_4k6_4u2_5b2-7,12,rectangular,pmg,22*
ctrnact-12_346-4j2_4k6_4u2_5b2-9,12,rectangular,pgg,22×
ctrnact-12_346-4j2_4k6_5b2_5d2-1,12,rectangular,pgg,22×
ctrnact-12_346-4j2_4k6_5b2_5d2-10,12,rectangular,pmg,22*
ctrnact-12_346-4j2_4k6_5b2_5d2-11,12,rectangular,pmg,22*
