id,k,weight
ctrnact-12_34-4p2_4s_5c6_6i3-9,12,22
ctrnact-12_34-4p2_4s_5c8_6i-1,12,22
ctrnact-12_34-4p2_4s_5c8_6i-10,12,22
ctrnact-12_34-4p2_4s_5c8_6i-2,12,22
ctrnact-12_34-4p2_4s_5c8_6i-3,12,22
ctrnact-12_34-4p2_4s_5c8_6i-4,12,22
ctrnact-12_34-4p2_4s_5c8_6i-5,12,22
ctrnact-12_34-4p2_4s_5c8_6i-6,12,22
ctrnact-12_34-4p2_4s_5c8_6i-7,12,22
ctrnact-12_34-4p2_4s_5c8_6i-8,12,22
ctrnact-12_34-4p2_4s_5c8_6i-9,12,22
ctrnact-12_34-4p2_5c4_6i6-1,12,22
ctrnact-12_34-4p2_5c4_6i6-2,12,22
ctrnact-12_34-4p2_5c4_6i6-3,12,22
ctrnact-12_34-4p2_5c6_6i4-1,12,22
ctrnact-12_34-4p2_5c6_6i4-2,12,22
ctrnact-12_34-4p2_5c6_6i4-3,12,22
ctrnact-12_34-4p2_5c6_6i4-4,12,22
ctrnact-12_34-4p2_5c6_6i4-5,12,22
ctrnact-12_34-4p2_5c6_6i4-6,12,22
ctrnact-12_34-4p2_5c8_6i2-1,12,22
ctrnact-12_34-4p2_5c8_6i2-2,12,22
ctrnact-12_34-4p2_5c8_6i2-3,12,22
ctrnact-12_34-4p2_5c8_6i2-4,12,22
ctrnact-12_34-4p_4s10_5c-1,12,23
ctrnact-12_34-4p_4s2_5c2_5d5_5f2-1,12,9
ctrnact-12_34-4p_4s2_5c2_6i7-1,12,23
ctrnact-12_34-4p_4s2_5c2_6i7-2,12,23
ctrnact-12_34-4p_4s2_5c2_6i7-3,12,23
ctrnact-12_34-4p_4s2_5c3_5d3_5f2_6j-1,12,7
ctrnact-12_34-4p_4s2_5c3_6f_6i5-1,12,22
ctrnact-12_34-4p_4s2_5c3_6f_6i5-10,12,22
ctrnact-12_34-4p_4s2_5c3_6f_6i5-11,12,22
ctrnact-12_34-4p_4s2_5c3_6f_6i5-12,12,22
ctrnact-12_34-4p_4s2_5c3_6f_6i5-13,12,22
ctrnact-12_34-4p_4s2_5c3_6f_6i5-14,12,22
ctrnact-12_34-4p_4s2_5c3_6f_6i5-15,12,22
ctrnact-12_34-4p_4s2_5c3_6f_6i5-16,12,22
ctrnact-12_34-4p_4s2_5c3_6f_6i5-17,12,22
ctrnact-12_34-4p_4s2_5c3_6f_6i5-18,12,22
ctrnact-12_34-4p_4s2_5c3_6f_6i5-2,12,22
ctrnact-12_34-4p_4s2_5c3_6f_6i5-3,12,22
